language,form,model_name,k_fold,mean_prec,mean_recall,mean_f1,mean_acc,meas_stdev_prec,meas_stdev_recall,meas_stdev_f1,meas_stdev_acc
Swahili,Tokens,markovdual,10,0.699,0.682,0.688,0.848,0.083,0.077,0.067,0.030
Iraqw,Tokens,markovdual,10,0.671,0.499,0.567,0.872,0.116,0.106,0.098,0.021
Gawwada,Tokens,markovdual,10,0.555,0.389,0.455,0.881,0.157,0.063,0.092,0.023
Hausa,Tokens,markovdual,10,0.637,0.510,0.565,0.811,0.099,0.086,0.087,0.022
Kanuri,Tokens,markovdual,10,0.512,0.458,0.480,0.807,0.077,0.073,0.061,0.030
Tarifiyt Berber,Tokens,markovdual,10,0.766,0.762,0.762,0.767,0.057,0.040,0.025,0.021
Seychelles Creole,Tokens,markovdual,10,0.479,0.324,0.381,0.864,0.087,0.098,0.089,0.019
Romanian,Tokens,markovdual,10,0.697,0.664,0.679,0.738,0.053,0.061,0.049,0.034
Selice Romani,Tokens,markovdual,10,0.866,0.891,0.878,0.862,0.029,0.032,0.020,0.023
Lower Sorbian,Tokens,markovdual,10,0.657,0.616,0.632,0.854,0.085,0.126,0.098,0.022
Old High German,Tokens,markovdual,10,0.279,0.182,0.213,0.881,0.187,0.160,0.168,0.034
Dutch,Tokens,markovdual,10,0.488,0.411,0.444,0.773,0.069,0.083,0.069,0.033
English,Tokens,markovdual,10,0.635,0.610,0.620,0.701,0.057,0.074,0.054,0.040
Kildin Saami,Tokens,markovdual,10,0.564,0.433,0.486,0.776,0.066,0.076,0.058,0.017
Bezhta,Tokens,markovdual,10,0.789,0.723,0.751,0.848,0.063,0.084,0.062,0.029
Archi,Tokens,markovdual,10,0.726,0.550,0.620,0.815,0.114,0.089,0.080,0.038
Manange,Tokens,markovdual,10,0.504,0.267,0.340,0.871,0.175,0.130,0.147,0.029
Ket,Tokens,markovdual,10,0.691,0.405,0.502,0.887,0.093,0.124,0.105,0.029
Sakha,Tokens,markovdual,10,0.593,0.539,0.562,0.774,0.085,0.104,0.086,0.036
Oroqen,Tokens,markovdual,10,0.463,0.350,0.396,0.893,0.169,0.144,0.151,0.027
Japanese,Tokens,markovdual,10,0.735,0.699,0.715,0.828,0.045,0.049,0.038,0.020
Mandarin Chinese,Tokens,markovdual,10,0.075,0.010,0.017,0.881,0.169,0.022,0.036,0.026
Thai,Tokens,markovdual,10,0.635,0.475,0.543,0.770,0.080,0.057,0.063,0.028
Vietnamese,Tokens,markovdual,10,0.613,0.318,0.414,0.686,0.119,0.070,0.076,0.054
White Hmong,Tokens,markovdual,10,0.653,0.388,0.483,0.788,0.128,0.054,0.063,0.035
Ceq Wong,Tokens,markovdual,10,0.681,0.623,0.646,0.757,0.125,0.130,0.114,0.065
Indonesian,Tokens,markovdual,10,0.645,0.621,0.631,0.774,0.047,0.088,0.055,0.032
Malagasy,Tokens,markovdual,10,0.480,0.388,0.426,0.842,0.099,0.044,0.060,0.019
Takia,Tokens,markovdual,10,0.799,0.742,0.764,0.886,0.066,0.097,0.058,0.029
Hawaiian,Tokens,markovdual,10,0.683,0.525,0.592,0.851,0.058,0.064,0.053,0.024
Gurindji,Tokens,markovdual,10,0.488,0.312,0.370,0.800,0.174,0.099,0.112,0.040
Yaqui,Tokens,markovdual,10,0.805,0.761,0.781,0.892,0.054,0.050,0.033,0.014
Zinacantán Tzotzil,Tokens,markovdual,10,0.821,0.677,0.736,0.919,0.124,0.102,0.092,0.027
Q'eqchi',Tokens,markovdual,10,0.772,0.634,0.691,0.930,0.107,0.114,0.091,0.016
Otomi,Tokens,markovdual,10,0.877,0.652,0.747,0.942,0.051,0.059,0.049,0.013
Saramaccan,Tokens,markovdual,10,0.670,0.646,0.656,0.753,0.066,0.052,0.045,0.038
Imbabura Quechua,Tokens,markovdual,10,0.838,0.779,0.804,0.890,0.115,0.054,0.067,0.027
Kali'na,Tokens,markovdual,10,0.622,0.602,0.603,0.884,0.129,0.118,0.090,0.026
Hup,Tokens,markovdual,10,0.811,0.507,0.611,0.901,0.158,0.133,0.106,0.020
Wichí,Tokens,markovdual,10,0.818,0.752,0.781,0.937,0.062,0.065,0.048,0.009
Mapudungun,Tokens,markovdual,10,0.746,0.659,0.698,0.873,0.078,0.064,0.063,0.028
