pk,count_words,borrowed_score,count_core_list_counterparts,color
1,1625,0.296769230769231,1815,fff0f5
2,1117,0.146150402864816,1262,87ceff
3,982,0.15071283095723,1163,b0e2ff
4,1452,0.241563360881543,1668,c6e2ff
5,1427,0.20760336370007,1591,e0ffff
6,1533,0.528864970645793,1681,00ffff
7,1880,0.127393617021277,2088,7fffd4
8,2137,0.427351427234441,2270,54ff9f
9,1536,0.628580729166667,1619,00ff7f
10,1671,0.223818073010174,1765,00ff00
11,1203,0.0590191188694929,1258,7fff00
12,1513,0.193654990085922,1588,c0ff3e
13,1505,0.416611295681063,1515,fff68f
14,1342,0.279619970193741,1467,ffff00
15,1344,0.319568452380952,1473,ffd700
16,1112,0.323741007194245,1254,ffb90f
17,1009,0.0968780971258672,1124,ffc1c1
18,1030,0.0997572815533981,1262,ff6a6a
19,1411,0.308114812189936,1588,ff8247
20,1138,0.112917398945518,1205,ffd39b
21,1975,0.361518987341772,2131,ffe7ba
22,2049,0.0217179111761835,2120,ffa54f
23,2073,0.261698022190063,2097,ff7f24
24,1477,0.268957345971564,1534,ffa500
25,1292,0.227747678018576,1472,ff7f00
26,871,0.37743972445465,947,ff7256
27,1945,0.346658097686375,2046,ff4500
28,1526,0.185452162516383,1680,ff0000
29,1125,0.324666666666667,1327,ff1493
30,1306,0.176684532924962,1483,ff6eb4
31,842,0.481888361045131,1028,ffb5c5
32,1384,0.267702312138728,1609,ff3e96
33,1217,0.167419884963024,1413,ff00ff
34,1774,0.14684329199549,1995,ff83fa
35,2158,0.107159406858202,2558,ffbbff
36,1103,0.420444242973708,1303,e066ff
37,1179,0.303647158608991,1297,ab82ff
38,1191,0.156801007556675,1280,ffe1ff
39,994,0.118963782696177,1178,b5b5b5
40,1187,0.161541701769166,1361,ffdab9
41,1291,0.241092176607281,1365,f0fff0
